iter	Logloss
0	0.6417105632
1	0.5940377946
2	0.5610185526
3	0.5119470637
4	0.4776492047
5	0.4459648654
6	0.4089543273
7	0.3930572387
8	0.3689578072
9	0.3435921971
10	0.3303679637
11	0.3194874451
12	0.3037609239
13	0.2888047806
14	0.2784326873
15	0.2673609671
16	0.2564627827
17	0.2460205323
18	0.2372927289
19	0.2336637832
20	0.2268436257
21	0.2202986919
22	0.2129702601
23	0.2064607003
24	0.2005218168
25	0.1948506815
26	0.1909135477
27	0.1870250924
28	0.1811008979
29	0.1791980233
30	0.1770071959
31	0.1751875886
32	0.1720951381
33	0.1704522736
34	0.168749477
35	0.1670646568
36	0.1645345981
37	0.16202843
38	0.1603858953
39	0.1581600345
40	0.1567640458
41	0.1552273404
42	0.1540415165
43	0.1524118231
44	0.1510713896
45	0.1494911965
46	0.1481350888
47	0.1465911727
48	0.1452082148
49	0.1438358651
50	0.1427653665
51	0.141006238
52	0.1401139509
53	0.1390997543
54	0.1377545884
55	0.1366626257
56	0.1358927725
57	0.1346777192
58	0.1343252512
59	0.133726491
60	0.1326274201
61	0.1319031305
62	0.1312343663
63	0.1298314093
64	0.128377747
65	0.1273064887
66	0.1267323769
67	0.1258082102
68	0.1249417618
69	0.1232433684
70	0.1230437058
71	0.1225523456
72	0.1218236932
73	0.120910118
74	0.1204986665
75	0.1192116661
76	0.1181324816
77	0.1173046038
78	0.1161923892
79	0.1155065782
80	0.1143983925
81	0.1133191833
82	0.11248572
83	0.1119477017
84	0.1113782411
85	0.1109291615
86	0.1103465126
87	0.1094049971
88	0.1092112938
89	0.1086905797
90	0.1077027044
91	0.1070661259
92	0.1063907017
93	0.1056926706
94	0.1050964036
95	0.1044205798
96	0.1038068224
97	0.1033664388
98	0.1029184627
99	0.1015988216
100	0.1011236127
101	0.1008144518
102	0.100231635
103	0.09972924453
104	0.09904270983
105	0.09833199965
106	0.09717237854
107	0.09664474978
108	0.09628894457
109	0.09533508774
110	0.0948602317
111	0.09392998119
112	0.09380376965
113	0.09322830603
114	0.09226166676
115	0.09189632621
116	0.09146500349
117	0.09075450432
118	0.09025113791
119	0.08985187484
120	0.08927207446
121	0.08881300692
122	0.08830883397
123	0.0880544339
124	0.08762574486
125	0.08723073334
126	0.08691179237
127	0.08614167976
128	0.0859858336
129	0.0856028365
130	0.08501381233
131	0.08466096489
132	0.08427487297
133	0.08384601902
134	0.08336009115
135	0.08270237307
136	0.08235478217
137	0.08192893533
138	0.08160888361
139	0.08100669479
140	0.08055875619
141	0.07995433183
142	0.0792898571
143	0.07885481485
144	0.07825333251
145	0.07778605329
146	0.07763207733
147	0.07720316288
148	0.07684868951
149	0.07634870891
150	0.07581651377
151	0.07555038093
152	0.075129145
153	0.07470055588
154	0.07425176543
155	0.07340156661
156	0.07291150027
157	0.07236546054
158	0.07169246563
159	0.07133038275
160	0.07078675099
161	0.07066694817
162	0.07025909381
163	0.06952511436
164	0.06917292155
165	0.06896790328
166	0.06837385489
167	0.06797912744
168	0.06773005243
169	0.06740460746
170	0.0668640983
171	0.06640108026
172	0.06613960556
173	0.06603743486
174	0.06534838941
175	0.06455277446
176	0.06408788115
177	0.06386170616
178	0.06326588692
179	0.06295490098
180	0.06255402698
181	0.06228813564
182	0.06199421354
183	0.06160817321
184	0.06130722813
185	0.06103833485
186	0.06068208187
187	0.06045353371
188	0.06034157152
189	0.05984781734
190	0.05945577615
191	0.05902479206
192	0.05852165695
193	0.05786941608
194	0.05753275036
195	0.05716609945
196	0.05690714402
197	0.05658896904
198	0.05624125744
199	0.05597824467
200	0.05503549187
201	0.05475021959
202	0.05435433244
203	0.0540248833
204	0.05377426766
205	0.05310543375
206	0.05296292358
207	0.05239790142
208	0.05203935211
209	0.051740722
210	0.05137340731
211	0.05064031235
212	0.05028861114
213	0.0499547057
214	0.04973643809
215	0.0494697039
216	0.04920956341
217	0.04876702446
218	0.04859147668
219	0.04808024171
220	0.04790824169
221	0.04777311153
222	0.04753008287
223	0.04696171983
224	0.04672062036
225	0.04657825273
226	0.04630954399
227	0.04593782706
228	0.04562703501
229	0.04545721469
230	0.04531158059
231	0.0451827898
232	0.04486532609
233	0.04464792573
234	0.04439213857
235	0.04414352251
236	0.04403433305
237	0.04365752638
238	0.04313594868
239	0.04279784653
240	0.0424106347
241	0.04223158704
242	0.04209475378
243	0.04183248517
244	0.04173023608
245	0.04134949592
246	0.04116496837
247	0.04069104838
248	0.04043777714
249	0.04030898771
250	0.04013150772
251	0.03991856932
252	0.03981507469
253	0.03960991752
254	0.0394547569
255	0.03927019836
256	0.03908838366
257	0.03885210941
258	0.03853565293
259	0.03822127548
260	0.03783610417
261	0.03761490399
262	0.03749512072
263	0.03721086591
264	0.03711096116
265	0.03691153202
266	0.03674939798
267	0.03645987725
268	0.03612025079
269	0.03592983231
270	0.03575348517
271	0.03549315599
272	0.03529837953
273	0.03507440575
274	0.03492563397
275	0.03468947665
276	0.03452293937
277	0.03428835651
278	0.03412416731
279	0.03392802465
280	0.0336889457
281	0.03339449981
282	0.03325957291
283	0.0330025896
284	0.03291829358
285	0.03266038869
286	0.03240158663
287	0.03223395508
288	0.0321470724
289	0.03192357616
290	0.03174303574
291	0.0316420699
292	0.03144554286
293	0.03134046209
294	0.0312378255
295	0.03106428934
296	0.03087405458
297	0.03075265333
298	0.03058965784
299	0.03037182647
